track_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Artist
Ai Preto,3,2022,6,3,894,4,176103902.0,28,0,54.0,0,0.0,130,F#,Major,95,83,57,54,0,10,25,Bianca
Ain't Shit,1,2021,6,25,3436,0,499710590.0,32,6,46.0,0,1.0,124,D#,Major,86,62,49,51,0,35,21,Doja Cat
Ainï¿½ï¿½ï¿½t Tha,1,2023,3,3,356,4,88791109.0,4,20,0.0,0,0.0,121,F#,Minor,64,67,80,0,0,36,3,Morgan Wallen
Alien Blues,1,2015,7,24,1930,0,370068639.0,3,0,28.0,0,1.0,82,D#,Major,47,44,76,8,91,9,3,Vundabar
All For Us - from the HBO Original Series Euphoria,2,2019,8,4,5342,0,426204830.0,33,123,7.0,0,4.0,141,D#,Major,37,17,67,2,0,34,9,Labrinth
All For Us - from the HBO Original Series Euphoria,2,2019,8,4,5342,0,426204830.0,33,123,7.0,0,4.0,141,D#,Major,37,17,67,2,0,34,9,Zendaya
All I Want for Christmas Is You,1,1994,10,28,25653,0,1449779435.0,387,132,36.0,0,2.0,150,G,Major,34,33,63,16,0,7,4,Mariah Carey
All My Life (feat. J. Cole),2,2023,5,12,2175,23,144565150.0,69,145,69.0,2,478.0,143,D#,Major,83,69,44,15,0,10,33,J. Cole
All My Life (feat. J. Cole),2,2023,5,12,2175,23,144565150.0,69,145,69.0,2,478.0,143,D#,Major,83,69,44,15,0,10,33,Lil Durk
All Of The Girls You Loved Before,1,2019,8,23,1282,6,185240616.0,26,6,19.0,0,5.0,96,D,Major,72,40,47,71,0,13,4,Taylor Swift
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",3,2023,6,2,259,0,37126685.0,5,17,5.0,0,0.0,135,A,Minor,77,28,55,18,0,22,15,Future
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",3,2023,6,2,259,0,37126685.0,5,17,5.0,0,0.0,135,A,Minor,77,28,55,18,0,22,15,Lil Uzi Vert
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",3,2023,6,2,259,0,37126685.0,5,17,5.0,0,0.0,135,A,Minor,77,28,55,18,0,22,15,Metro Boomin
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),1,2021,11,12,4635,5,583687007.0,50,49,30.0,1,2.0,93,C#,Major,63,21,52,28,0,9,3,Taylor Swift
All of Me,1,2013,8,1,27221,0,2086124197.0,308,118,36.0,2,77.0,120,G#,Major,42,33,26,92,0,13,3,John Legend
Alone,1,2022,11,4,782,2,96007391.0,27,18,32.0,1,0.0,90,E,Minor,61,32,67,15,0,11,5,Burna Boy
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",3,2023,6,2,727,16,94186466.0,17,60,28.0,1,44.0,90,A,Minor,60,13,53,4,0,21,4,A$AP Rocky
